,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
857,Switzerland,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Swiss, so described",Not specified,North-West Europe,Western Europe
858,Switzerland,More than 10 years,45–64,Persons,Arthritis,313.0,3959.0,7.90603687799949,"Swiss, so described",Not specified,North-West Europe,Western Europe
859,Switzerland,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Swiss, so described",Not specified,North-West Europe,Western Europe
860,Switzerland,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Swiss, so described",Not specified,North-West Europe,Western Europe
861,Switzerland,More than 10 years,65 and over,Persons,Arthritis,745.0,3686.0,20.2116115029842,"Swiss, so described",Not specified,North-West Europe,Western Europe
862,Switzerland,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Swiss, so described",Not specified,North-West Europe,Western Europe
863,Switzerland,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Swiss, so described",Not specified,North-West Europe,Western Europe
864,"Northern Europe, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
865,"Northern Europe, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
866,"Northern Europe, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
867,"Northern Europe, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
868,"Northern Europe, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
869,"Northern Europe, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
870,"Northern Europe, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
871,"Northern Europe, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
872,"Northern Europe, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
873,"Northern Europe, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
874,"Northern Europe, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
875,"Northern Europe, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
876,"Northern Europe, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
877,"Northern Europe, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
878,"Northern Europe, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
879,"Northern Europe, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
880,"Northern Europe, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
881,"Northern Europe, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Northern European Languages, nfd",Not specified,North-West Europe,Northern Europe
882,Denmark,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
883,Denmark,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
884,Denmark,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
885,Denmark,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
886,Denmark,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
887,Denmark,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
888,Denmark,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
889,Denmark,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
890,Denmark,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
891,Denmark,More than 10 years,00–44,Persons,Arthritis,22.0,1126.0,1.9538188277087,Danish,Not specified,North-West Europe,Northern Europe
892,Denmark,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
893,Denmark,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
894,Denmark,More than 10 years,45–64,Persons,Arthritis,305.0,2945.0,10.3565365025466,Danish,Not specified,North-West Europe,Northern Europe
895,Denmark,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
896,Denmark,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
897,Denmark,More than 10 years,65 and over,Persons,Arthritis,816.0,3183.0,25.636192271442,Danish,Not specified,North-West Europe,Northern Europe
898,Denmark,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
899,Denmark,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
900,Faroe Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
901,Faroe Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
902,Faroe Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
903,Faroe Islands,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
904,Faroe Islands,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
905,Faroe Islands,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
906,Faroe Islands,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
907,Faroe Islands,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
908,Faroe Islands,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
909,Faroe Islands,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
910,Faroe Islands,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
911,Faroe Islands,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
912,Faroe Islands,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
913,Faroe Islands,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
914,Faroe Islands,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
915,Faroe Islands,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
916,Faroe Islands,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
917,Faroe Islands,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
918,Finland,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
919,Finland,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
920,Finland,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
921,Finland,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
922,Finland,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
923,Finland,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
924,Finland,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
925,Finland,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
926,Finland,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
927,Finland,More than 10 years,00–44,Persons,Arthritis,12.0,696.0,1.72413793103448,Finnish,Not specified,North-West Europe,Northern Europe
928,Finland,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
929,Finland,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
930,Finland,More than 10 years,45–64,Persons,Arthritis,337.0,2115.0,15.9338061465721,Finnish,Not specified,North-West Europe,Northern Europe
931,Finland,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
932,Finland,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
933,Finland,More than 10 years,65 and over,Persons,Arthritis,1017.0,3345.0,30.4035874439461,Finnish,Not specified,North-West Europe,Northern Europe
934,Finland,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
935,Finland,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Finnish,Not specified,North-West Europe,Northern Europe
936,Greenland,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
937,Greenland,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
938,Greenland,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
939,Greenland,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
940,Greenland,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
941,Greenland,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
942,Greenland,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
943,Greenland,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
944,Greenland,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
945,Greenland,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
946,Greenland,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
947,Greenland,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
948,Greenland,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
949,Greenland,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
950,Greenland,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
951,Greenland,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
952,Greenland,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
953,Greenland,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Danish,Not specified,North-West Europe,Northern Europe
954,Iceland,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
955,Iceland,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
956,Iceland,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
957,Iceland,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
958,Iceland,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
959,Iceland,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
960,Iceland,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
961,Iceland,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
962,Iceland,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
963,Iceland,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
964,Iceland,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
965,Iceland,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
966,Iceland,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
967,Iceland,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
968,Iceland,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
969,Iceland,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
970,Iceland,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
971,Iceland,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Icelandic,Not specified,North-West Europe,Northern Europe
972,Norway,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
973,Norway,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
974,Norway,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
975,Norway,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
976,Norway,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
977,Norway,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
978,Norway,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
979,Norway,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
980,Norway,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
981,Norway,More than 10 years,00–44,Persons,Arthritis,16.0,942.0,1.69851380042462,Norwegian,Not specified,North-West Europe,Northern Europe
982,Norway,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
983,Norway,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
984,Norway,More than 10 years,45–64,Persons,Arthritis,74.0,764.0,9.68586387434555,Norwegian,Not specified,North-West Europe,Northern Europe
985,Norway,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
986,Norway,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
987,Norway,More than 10 years,65 and over,Persons,Arthritis,183.0,699.0,26.1802575107296,Norwegian,Not specified,North-West Europe,Northern Europe
988,Norway,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
989,Norway,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Norwegian,Not specified,North-West Europe,Northern Europe
990,Sweden,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
991,Sweden,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
992,Sweden,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
993,Sweden,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
994,Sweden,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
995,Sweden,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
996,Sweden,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
997,Sweden,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
998,Sweden,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
999,Sweden,More than 10 years,00–44,Persons,Arthritis,39.0,2389.0,1.63248221012976,Swedish,Not specified,North-West Europe,Northern Europe
1000,Sweden,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1001,Sweden,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1002,Sweden,More than 10 years,45–64,Persons,Arthritis,296.0,2925.0,10.1196581196581,Swedish,Not specified,North-West Europe,Northern Europe
1003,Sweden,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1004,Sweden,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1005,Sweden,More than 10 years,65 and over,Persons,Arthritis,422.0,1675.0,25.1940298507462,Swedish,Not specified,North-West Europe,Northern Europe
1006,Sweden,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1007,Sweden,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1008,Aland Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1009,Aland Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1010,Aland Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1011,Aland Islands,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1012,Aland Islands,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1013,Aland Islands,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1014,Aland Islands,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1015,Aland Islands,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1016,Aland Islands,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1017,Aland Islands,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1018,Aland Islands,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1019,Aland Islands,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1020,Aland Islands,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1021,Aland Islands,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1022,Aland Islands,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1023,Aland Islands,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1024,Aland Islands,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1025,Aland Islands,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Swedish,Not specified,North-West Europe,Northern Europe
1026,"Southern and Eastern Europe, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1027,"Southern and Eastern Europe, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1028,"Southern and Eastern Europe, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1029,"Southern and Eastern Europe, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1030,"Southern and Eastern Europe, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1031,"Southern and Eastern Europe, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1032,"Southern and Eastern Europe, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1033,"Southern and Eastern Europe, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1034,"Southern and Eastern Europe, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1035,"Southern and Eastern Europe, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1036,"Southern and Eastern Europe, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1037,"Southern and Eastern Europe, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1038,"Southern and Eastern Europe, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1039,"Southern and Eastern Europe, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1040,"Southern and Eastern Europe, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1041,"Southern and Eastern Europe, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1042,"Southern and Eastern Europe, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1043,"Southern and Eastern Europe, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Other Southern European Languages, nec",Not specified,Southern and Eastern Europe,Southern Europe
1044,Andorra,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1045,Andorra,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1046,Andorra,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1047,Andorra,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1048,Andorra,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1049,Andorra,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1050,Andorra,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1051,Andorra,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1052,Andorra,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1053,Andorra,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1054,Andorra,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1055,Andorra,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1056,Andorra,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1057,Andorra,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1058,Andorra,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
1059,Andorra,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Catalan,Not specified,Southern and Eastern Europe,Southern Europe
