,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
58471,Guam,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58472,Guam,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58473,Guam,More than 10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58474,Guam,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58475,Guam,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58476,Guam,More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58477,Guam,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58478,Guam,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58479,Guam,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58480,Guam,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58481,Guam,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58482,Kiribati,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58483,Kiribati,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58484,Kiribati,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58485,Kiribati,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58486,Kiribati,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58487,Kiribati,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58488,Kiribati,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58489,Kiribati,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58490,Kiribati,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58491,Kiribati,More than 10 years,00–44,Persons,One or more long-term health condition(s),29.0,142.0,20.4225352112676,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58492,Kiribati,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58493,Kiribati,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58494,Kiribati,More than 10 years,45–64,Persons,One or more long-term health condition(s),63.0,158.0,39.8734177215189,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58495,Kiribati,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58496,Kiribati,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58497,Kiribati,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
58498,Kiribati,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
